Paper ID,DOI,Title,Authorship,Year Pub,Hem,Region,Body,Environ,Collection,Type,Size,Paper Notes
96,10.1016/j.marpolbul.2014.04.014,"Deep-sea faunal communities associated with a lost intermodal shipping container in the Monterey Bay National Marine Sanctuary, CA",Taylor et al.,2014,N,Temp,Pac,Benthic,Trawl [Video],Obs,Macro,"Patches of high density of macrofauna on a deep-sea submerged shipping container in Monterey Canyon meant that the area differed significantly in assemblage from the surrounding environment (>100m).  The assemblage is also different from that on natural substrata in the area due to the absence of soft corals, sponges, and crinoids.  Instead, the container hosted mollusca and higher divisions of life.  Authors suppose that containers such as this could provide habitat connectivity between distant rocky outcrops and coastlines."
97,10.1016/j.marpolbul.2017.02.072,Degradation of common polymer ropes in a sublittoral marine environment,Welden & Cowie,2017,N,Temp,Atl,Benthic,Sample collection,C. Field,Macro,"compared fouling and degradation on PP, PE, nylon, and sisal ropes in a marina over 8 months. found that PP had the greatest richness throughout the study. sisal had the least algal growth over the course of the study, with almost none up to the 6 month measurement when it was highly degraded. sisal degraded completely within 12 months, while polymers lost max 15% mass."
98,10.20937/RICA.2018.34.01.12,Degradation of Conventional and Oxodegradable High Density Polyethylene in Tropical Aqueous and Outdoor Environments,Arias Villamizar & Vázquez Morillas,2018,N,Trop,Atl,Floating,Sample collection,C. Field,Macro,degradation of oxodegradable plastics occurred most rapidly in the marine environment compared to freshwater.  it occurred more quickly for traditional than biodegradable plastics.  biofilm was thicker in marine than freshwater.
99,10.1016/j.marpolbul.2014.01.034,"Derelict fishing gear in Chesapeake Bay, Virginia: Spatial patterns and implications for marine fauna",Bilkovic et al.,2014,N,Temp,Atl,Benthic,Opportunistic,Obs,Macro,crassotrea oysters were so prevalent on derelict crab pots that they were added to the study to describe their abundance. hundreds were commonly found on single pots.  fouling and epiphytic orgs were so prevalent that they were noted and id'd on volunteer produced datasheets. non-native (Rapana venosa) positively id'd in 3 pots w/in known range.
100,10.1023/B:HYDR.0000008480.95045.26,Hitch-hiking on floating marine debris: Macrobenthic species in the Western Mediterranean Sea,Aliani & Molcard,2003,N,Temp,Med,Floating,Opportunistic,Obs,Macro,most common species was lepadid barnacle and isopod. found significant differences between species found on natural and artificial debris but did not differentiate between the two in reporting taxa.
101,10.1016/j.envpol.2019.112979,Assemblage of encrusting organisms on floating anthropogenic debris along the northern coast of the Persian Gulf,"Shabani, Nasrolahi, & Thiel",2019,N,Temp,Ind,Beach,Opportunistic,Obs,Macro,"all three bryozoans identified on debris were nis in the area. wood had the highest coverage and glass had the least. taxa varied greatest by area, then by material.  several species accounted for the majority of variation in communities by area, showing patchiness of distribution for certain species but not for others. significant majority of debris was plastic. this time acorn barnacles accounted for over half of all epibionts, not lepadid. common barnacle a. amphitrite was also the most common in the region on all surfaces."
102,10.1016/j.dsr2.2013.01.011,"Abundance of litter on Condor seamount (Azores, Portugal, Northeast Atlantic)",Pham et al.,2013,N,Temp,Atl,Benthic,Trawl [Video],Obs,Macro,"two coral species were found growing through or near numerous debris items. rov footage misses small, buried, or heavily covered debris, however may be good for looking at interactions."
103,10.1038/s41598-019-40311-4,Plastics in sea surface waters around the Antarctic Peninsula,Lacerda et al.,2019,S,Polar,South,Floating,Trawl,Obs,Micro; Meso,"Only found meso and micro debris in surface trawls.  Most common types were different than elsewhere in the world and indicative of a local source (polyurethane and polyamide).  Back tracking surface model also indicated that all were likely locally sourced within the past 7 years.  Fragments were most common shape.  Only n=2 out of n=78 were pellets. Found a lot of paint chips similar to Barnes results. However, total area sampled was less than 0.05km2 and total number of items found was accordingly very low."
104,10.1016/J.MARPOLBUL.2019.02.064,"Dispersal of potentially pathogenic bacteria by plastic debris in Guanabara Bay, RJ, Brazil","Silva, et al.",2019,S,Trop,Atl,Floating,Opportunistic,Obs,Macro,some plastics had more e. coli and vibrio than the surrounding water.  e. coli isolated and tested positive for virulence genes.
105,10.1016/J.ENVPOL.2018.09.110,Plastic-associated harmful microalgal assemblages in marine environment,Casabianca et al.,2019,N,Temp,Med,Floating,Trawl,Obs,Meso,"samples showed the presence of harmful microalgae including those that produce paralytic shellfish toxin. diatoms had higher/richer (env) and quicker (lab) presence on plastic, but dinoflagellates were also present. "
106,10.1038/srep19987,Oceanic barnacles act as foundation species on plastic debris: Implications for marine dispersal,Gil & Pfaller,2016,N,Trop,Pac,Floating,Opportunistic,Obs,Macro,"More barnacles support a greater number of mobile taxa (including coastal species). Suggests that lepas are a foundation species for rafters.  This effect decreased as the size of the debris increased.  Positive species-area relationship.  However, statistical methods were questionable. Taxonomic and debris details were included in supplemental data (handy!)."
107,10.1016/j.marpolbul.2018.03.041,Rafting in Zoantharia: a hitchhiker's guide to dispersal?,Santos & Reimer,2018,S; N,Trop,Atl; Pac,Beach; Benthic; Floating,Opportunistic,Obs,Macro,"Taxonomic observations from opportunistic sightings by taxonomic specialists during field work written up as a separate piece. The authors were also able to infer the presence of porifera due to obligate relationships between the two.  Observations were made in two separate field studies, one on a beached glass bottle in brasil and the other on a sunken ship and floating nylon fishing line in Palau."
108,10.1016/j.envpol.2018.07.023,Microplastic bacterial communities in the Bay of Brest: Influence of polymer type and size,Frère et al.,2018,N,Temp,Atl,Floating,Trawl,Obs,Micro; meso,"Compared seawater to loosely attached taxa off the coast of france. Found that plastic had a distinct community of bacteria and single celled organisms but that the size of micro and meso plastic had no effect on community composition. Unlike with larger debris, size was not a determinant of community on plastic fragments <5mm in size."
109,10.1016/j.envpol.2017.12.027,"Evidence of niche partitioning among bacteria living on plastics, organic particles and surrounding seawaters",Dussud et al.,2018,N,Temp,Med,Floating,Trawl,Obs,Meso,"algae, fungi, and bryozoans were found but not analysed. all plastic pieces were colonised to some extent, but not completely (~3% cover). plastic type and geography had no significant affect on variance. little variance was explained by overall litter type, shape, or environmental variables. plastic litter had highly unique (nearly 50%) and diverse community. vibrio was elevated compared to water sample but not compared to natural particulates."
110,10.1016/j.scitotenv.2017.05.059,Plastics in the North Atlantic garbage patch: A boat-microbe for hitchhikers and plastic degraders,Didier et al.,2017,N,Temp,Atl,Floating,Trawl; Opportunistic,Obs,Micro; meso,"most dominant metabolism type for biofilm on microplastics was “Chlorocyclohexane and chlorobenzene degradation”, “Poly- cyclic aromatic hydrocarbon degradation” and “Nitrotoluene degradation” (hydrocarbons).  mesoplastics showed elevated bacterial/archaeal diversity over mps and water. mps had comparitively low diversity (near that of water) compared to mesoplastics."
111,10.1016/j.marpolbul.2017.04.063,Floating marine litter as a raft for drifting voyages for Planes minutus (Crustacea: Decapoda: Grapsidae) and Liocarcinus navigator (Crustacea: Decapoda: Polybiidae),Tutman et al.,2017,N,Temp,Med,Floating,Transect [Visual],Obs,Macro,"Crabs spotted during shipboard survey rafting on plastic sandal, sport shoe, and truck tyre.  Observed hopping between items. They were not far from their native range."
112,10.3989/scimar.04281.10A,Microfouling communities from pelagic and benthic marine plastic debris sampled across Mediterranean coastal waters,Masó et al.,2016,N,Temp,Med,Floating; Benthic,Trawl; Tow,Obs,Macro,fungi and dinoflagellates were much more common on floating debris than benthic.  benthic debris had considerably more protozoa and bryozoa.  both sampling locations showed almost all samples with diatoms.
113,10.1371/journal.pone.0100289,Millimeter-sized marine plastics: a new pelagic habitat for microorganisms and invertebrates,Reisser et al.,2014,S,Temp; Trop,Pac; Ind; South,Floating,Trawl,Obs,Micro; meso,"on cruises around the coast of australia and into the adjacent south pacific found a diverse community of diatoms attached to micro- and meso-hard plastic debris. this community varied spatially throughout the study. also found coccolithophores attached to debris, though these taxa are not known to be neustonic or rafting. also found numerous unidentified bacteria-appearing organisms in pits on the surface of debris."
114,10.1016/j.marpolbul.2013.07.054,The plastic-associated microorganisms of the North Pacific Gyre,Carson et al.,2013,N,Temp,Pac,Floating,Trawl,Obs,Micro; meso,"Used formalin so they couldn't do dna id, but looked at ratios of three diatom families and two shapes of bacteria on plastic fragments collected in the north pacific garbage patch. good numbers for shapes and sizes of debris."
115,10.1007/s00227-014-2432-8,Relationship of diversity and habitat area in North Pacific plastic-associated rafting communities,"Goldstein, Carson, & Eriksen",2014,N,Temp,Pac,Floating,Trawl,Obs,Macro; meso,"Used a combination of formalin (price efficiency for preserving larger objects) and ethanol (to preserve DNA). Found more motile taxa than sessile.  Predominant feeding method was filter feeding, though omnivores and grazers were also common.  Taxa were not significantly different between years and locations. Almost 25% of taxa found were not previously known to raft. The larger the object the more rich the taxa, however this was not true for arthropods and bryozoans who hit maximum at mid-sized objects. Found several different types of eggs."
116,10.1371/journal.pone.0159289,"Microbes on a bottle: Substrate, season and geography influence community composition of microbes colonizing marine plastic debris","Oberbeckmann, Osborne, & Duhaime",2016,N,Temp,Atl,Floating,Sample collection,C. Field,Macro,"Observed biofilm structure using SEM, looked at OTUs, and compared where applicable between plastic, glass, and seawater. Differences observed between material types and listed OTUs to that level. Found that while plastic, glass, and particle attached were not overall different in community (PERMANOVA) that at the OTU level there were certain taxa that were significantly discriminant of material. Communities however, did differ significantly between the three materials and free-living organisms, seasons, and locations within the study (the two close stations were not different, but the far one was different from the neighboring two).  Found numerous taxa for the first time on artificial debris and several taxa commonly found in other studies (spatially distant) were not found."
117,10.1016/j.marenvres.2016.07.004,Dangerous hitchhikers? Evidence for potentially pathogenic Vibrio spp. on microplastic particles,Kirstein et al.,2016,N,Temp,North,Floating,Trawl,Obs,Micro,Multiple strains and species of Vibrio were found on microplastics and in seawater.  Only one sample contained an isolate from V. parahaemolyticus with a tdh virulence gene.  All others were not apparently virulent according to this analysis.  Numerous samples were cultured and did contain non-pathogenic vibrio.
118,10.1007/s10530-019-01972-4,The potential of large rafting objects to spread Lessepsian invaders: the case of a detached buoy,Ivkić et al.,2019,N,Temp,Med,Beach,Opportunistic,Obs,Macro,Molluscs were identified from steel buoy which was stranded and then transported to a garbage dump.  NIS were overall more abundant than indigenous species in all transects of the buoy. 11 indigenous and 10 NIS were described.
126,10.24425/118743,"Macro-plastic litter, a new vector for boreal species dispersal on Svalbard","Węsławski, Kotwicki, & Marcin",2018,N,Polar,Atl,Beach,Opportunistic,Obs,Macro,"The beach walk paper. Only looked at large plastics near their campsites. Field identification of what they already knew. Also found gastropod eggs, unidentified, similar to goldstein. Solid argument for the transport of Mytilus on plastic debris causing new introduction on Svalbard.  Larvae could likely not survive 2y in transit from Norwegian mainland to Svalbard and there is little boat traffic on coastline. Two experiential accounts of researchers has found Mytlius on debris, then this study documented it officially.  Non-plastic debris does not survive long enough to transport larvae.  Combination of warming waters and plastic debris likely caused introduction."
128,10.1016/j.marpolbul.2018.10.015,Travelling light: Fouling biota on macroplastics arriving on beaches of remote Rapa Nui (Easter Island) in the South Pacific Subtropical Gyre,Rech et al.,2018,S,Temp,Pac,Beach,Opportunistic,Obs,Macro,"Majority of fouled items were fragments/unidentifiable objects, followed by rope.  Other fouled objects included plastic bottles/lids, plastic jerrycans/detergent container, crates/crate fragments, and fishing gear. Half had surface areas <100cm2 and half were on larger. Among fouled items, fouling was highly associated with surface area covered by bryozoans. Size of fragments and level of degradation suggest that they had been at sea for a long time, such as in the S. Pacific Gyre."
130,10.1016/j.marpolbul.2017.08.040,Aquaculture and urban marine structures facilitate native and non-indigenous species transfer through generation and accumulation of marine debris,Campbell et al.,2017,S,Temp,Pac,Beach,Opportunistic,Obs,Macro,"Multitudes more debris on beaches with urban marine structures present or nearby. 20% of debris was fouled, and that which was fouled often had multiple organisms on it."
132,10.xxxx/holmes,"Trans-Atlantic Rafting Of Inshore Mollusca On Macro-Litter: American Molluscs On British And Irish Shores, New Records",Holmes et al.,2015,N,Temp,Atl,Beach,Opportunistic,Obs,Macro,Found a variety of different bivalve molluscs attached to bait pots (fishing gear) likely rafted aross the Atlantic driven by storms.  Found and IDd by specialists based on layman online forum reports of locations where the bait pots were washing up.
133,10.1007/978-1-4613-8486-1_9,"Encrusters, Epibionts, and Other Biota Associated with Pelagic Plastics: A Review of Biogeographical, Environmental, and Conservation Issues",Winston et al.,1997,N,Trop,Atl,Beach,Opportunistic,Obs,Macro,"Freshly beached material had hydroids and algae, whereas apparently dried debris lacked these taxa and instead appeared dominated by brozoans and crustose algae.  When items were found with nothing else, they were found with amoeboid protists and benthic foraminiferans, suggesting that these are the first to colonize plastics when they enter the marine environment. A variety of hydroid taxa were found on debris, however they were not able to be identified because the delicate structures that define them were damaged by beaching (hydranths and gonophores).  Most organisms are the same as those found on natural rafts.  Either suggests adapatation or could be due to the ready source of propagules"
134,10.1016/j.ibiod.2009.03.003,Biofouling and stability of synthetic polymers in sea water,Artham et al.,2009,N,Trop,Ind,Floating,Sample Collection,C. Field,Macro,"Ignored macrofoulers because they were too variable. LDPE was most seasonally variable in degradation, followed by HDPE. PP was most resistant to degradation while supporting similar amounts of biofouling organisms. Strong overall seasonal variation in microfouling community."
135,10.3989/scimar.2003.67n1107,Drifting plastic debris as a potential vector for dispersing Harmful Algal Bloom (HAB) species,Masó et al.,2003,N,Temp,Med,Floating,Opportunistic,Obs,Macro,Demonstrated the presence and reproduction of harmful algal bloom species A. taylori on plastic film and debris in the mediterranean during a summer bloom of the HAB.
136,10.xxxx/fortuno,SEM Microphotographs Of Biofouling Organisms On Floating And Benthic Plastic Debris,Fortuño et al.,2010,N,Temp,Med,Floating,Opportunistic,Obs,Unknown,"Short monograph with little real data, but good photographs.  Saw biofilm and id'd to genus level."
137,10.1016/j.marpolbul.2013.07.054,"High-density polyethylene (HDPE)-degrading potential bacteria from marine ecosystem of Gulf of Mannar, India",Balasubramanian et al.,2010,S,Trop,Ind,Benthic,Sample collection,C. Lab,Macro,"Collected samples of benthic soil and degraded PE film, cultured micro-organisms, determined which micro-organisms could consume solely the PE, isolated those, then called them HDPE degraders.  Obtained efficient degradation of HDPE using the two strains of Aspergillus and Pseudomonas."
138,10.3354/ab00151,Detached aquaculture buoys in the SE Pacific: Potential dispersal vehicles for associated organisms,Astudillo et al.,2009,S,Temp,Pac,Floating,Transect [Visual],Obs,Macro,"Determined wind driven transport and documented macrofouling taxa for abandoned buoys in the S. Pacific. Rare species occur more frequently on detached than attached buoys, therefore greater sample size is necessary to adequately describe the community. Number of rare species perhaps indicative of colonisation while detached due to randomness of encountering propagules. Mobile taxa were dependent on the presence and amount of sessile taxa, therefore are ""eco-engineers"". Found three invasive NIS on detached buoys, drift patterns and community analysis suggest that these buoys were colonised in a certain bay and drifted with the NIS attached. Detached buoys favoured suspension feeders and orgs without planktonic larvae (asexual, direct development)."
139,10.3354/meps09344,Rafting on abiotic substrata: Properties of floating items and their influence on community succession,Bravo et al.,2011,S,Temp,Pac,Floating,Sample collection,C. Field,Macro,"Found egg masses of invertebrates including molluscs, much like other studies. After 1000d, all plastics and foam remained floating despite fouling and degradation.  14 out of 18 pumice sank before 700d (1 broke apart and 1 was lost).  Dominant taxa on pumice, foam, and plastic was diatoms in caged (free floating), line (floating), and ring (submerged) trials. Peak richness occurred after 2 months. Communities were statistically consistent between surface types, except for plastic where balanus barnacle became dominant, which did not happen on others.  Almost all foam replicates in uncaged, floating experiment were lost to birds. Lack of floating stability likely inhibited community development on styrofoam, but not on plastic because they used two piece small sample cosmetic jars."
140,10.3354/meps09460,Trans-Atlantic rafting by the brooding reef coral Favia fragum on man-made flotsam,"Hoeksema, Roos, & Cadée",2012,N,Temp,North,Beach,Opportunistic,Obs,Macro,Found Favia fragum on metal gas cylinder beached for at least 3 years (based on local comments) on an island in the Netherlands. Abraded and degraded sample was able to be ID'd by a specialist because the colony was so large and established prior to beaching. Specimen supports theory of specialists that this coral has an amphi-Atlantic distribution due to its ability to raft.
142,10.1016/j.marpolbul.2012.03.029,Plastic pellets as oviposition site and means of dispersal for the ocean-skater insect Halobates,"Majer, Vedolin, & Turra",2012,S,Trop,Atl,Beach,Opportunistic,Obs,Meso; micro,Presence of plastic pellets with halobates eggs varied widely by beach (0 - 62%). Pellets were average large enough to be used by 4 individuals for laying a full clutch of eggs. Results confirm that plastic pellets are being used as an oviposition site for insects.
143,10.1098/rsbl.2012.0298,Increased oceanic microplastic debris enhances oviposition in an endemic pelagic insect,"Goldstein, Rosenberg, & Cheng",2012,N,Temp,Pac,Floating,Trawl,Obs,Micro,"Egg abundance increased with microplastic concentration, but adults/juveniles did not, however there was an overall increase in adults/juveniles between 1972 and 2009.  Used historical data and museum specimens"
144,10.1016/S0025-326X(96)00045-8,Tar pellets and plastics as attachment surfaces for lepadid cirripedes in the North Atlantic Ocean,Minchin,1996,N,Temp,Atl,Beach,Opportunistic,Obs,Macro,"Found cirripedes, specifically d. fascicularis, attached to small bits of plastic and naturally occurring tar. L.pectinata was not found on such small pieces but showed preference for larger fragments of plastic.  "
145,10.1163/001121611X574290,"South African pelagic goose barnacles (Cirripedia, Thoracica): substratum preferences and influence of plastic debris on abundance and distribution","Whitehead, Biccard, & Griffiths",2011,S,Temp,Ind,Beach,Opportunistic,Obs,Macro,Size of and type of debris had a significant effect on the type of barnacle which fouled the debris. L. pectinata prefered <100cm2 and d. fascicularis preferred <200cm2.  Other 4 fouled larger debris. Debris also effected colony size. Compared and noted for natural and artificial debris with barnacles attached.
146,10.1017/s0025315400033865,Comparisons of social structure of Columbus crabs living on loggerhead sea turtles and inanimate flotsam,"Dellinger, Davenport, & Wirtz",1997,N,Temp,Atl,Floating,Opportunistic,Obs,Macro,"caught planes minutus on flotsam and turtles. did not quantify p/a percent on debris because there was a high concentration of debris from recent ""garbage discharge"". number of crabs linear positive relationship to size of debris. Overlap in crabs/area of flotsam and turtles. Crabs often found with l. anatifera."
147,10.2307/1549548,First finding of the pelagic crab Planes marinus (Decapoda: Grapsidae) in the southwestern Atlantic,Spivak & Bas,1999,S,Temp,Atl,Beach,Opportunistic,Obs,Macro,observed the crabs and associated macrofauna on a beached rope.
148,10.1007/s00227-004-1474-8,Drifting plastic and its consequences for sessile organism dispersal in the Atlantic Ocean,Barnes & Milner,2005,N; S,Temp; Trop; Polar,Atl,Floating,Transect [Visual],Obs,Macro,"none of the southern ocean debris was found to support life. only beached debris was inspected for colonising organisms because visual transect method aboard ship did not allow for ID. Many instances orgs were not identified in trop latitudes because they had dried or rotted. Organism density, pct cover, and quantity of debris highest at low (tropical) latitudes."
149,10.1007/s10152-012-0337-9,"Long-distance dispersal, low connectivity and molecular evidence of a new cryptic species in the obligate rafter Caprella andreae Mayer, 1890 (Crustacea: Amphipoda: Caprellidae)",Cabezas et al.,2013,N,Temp,Med,Floating,Opportunistic,Taxon,Macro,Taxonomic and genetic paper on dispersal and taxonomic relationships between caprella spp.
151,10.1007/s10152-002-0126-y,"Metapopulation structure of the marine isopod Idotea metallica, a species associated with drifting habitat patches",Gutow & Franke,2003,N,Temp,Atl,Floating,Opportunistic,Obs,Macro,"All lifestages were found on debris, as well as actively reproductive individuals.  I. metallica was found in both the Atl and Med, while the other three spp of Idotea were only found in the Atlantic. Indicates a barrier to gene flow.  I. baltica outcompeted I. metallica in culture.  If barrier is removed I. baltica could outcompete I. metallica. Separated into two rows to account for two basins clearly delineated in the results of the experiment."
152,10.1007/s10152-002-0126-y,"Metapopulation structure of the marine isopod Idotea metallica, a species associated with drifting habitat patches",Gutow & Franke,2003,N,Temp,Med,Floating,Opportunistic,Obs,Macro,"All lifestages were found on debris, as well as actively reproductive individuals.  I. metallica was found in both the Atl and Med, while the other three spp of Idotea were only found in the Atlantic. Indicates a barrier to gene flow.  I. baltica outcompeted I. metallica in culture.  If barrier is removed I. baltica could outcompete I. metallica. Separated into two rows to account for two basins clearly delineated in the results of the experiment."
153,10.1007/s10152-002-0126-y,Boring crustaceans damage polystyrene floats under docks polluting marine waters with microplastic,Davidson,2012,N,Temp,Pac,Beach,Opportunistic,Obs,Macro,Separated into three to account for delineation in paper between taxa recovered in Oregon (USA) and Taiwan and Panama.
154,10.1007/s10152-002-0126-y,Boring crustaceans damage polystyrene floats under docks polluting marine waters with microplastic,Davidson,2012,N,Temp,Pac,Beach,Opportunistic,Obs,Macro,Separated into two to account for delineation in paper between taxa recovered in Oregon (USA) and Taiwan and Panama.
155,10.24199/j.mmv.2012.69.07,Four new valviferan isopods from diverse tropical Australian habitats (Crustacea: Isopoda: Holognathidae and Idoteidae),Poore,2012,S,Trop,Ind,Floating,Opportunistic,Obs,Macro,"Taxonomic paper on isopods in the region, some isopods were described as having been found on AMD and therefore this paper is included.  Contains references to taxa found in the Timor Sea, so likely very relevant to the PhD affixed to this review.  No more reference to location than latitude and Sea (location randomly selected on Google Maps with these parameters).  Numerous were found on a piece of discarded floating net.  ID is determined to represent a new species."
156,10.1016/j.marpolbul.2015.05.050,"Biodegradation of HDPE by Aspergillus spp. from marine ecosystem of Gulf of Mannar, India",Devi et al.,2015,S,Trop,Ind,Benthic,Opportunistic,C. Lab,Macro,"Isolated strains of aspergillus from PE in sediment, then inoculated untreated commercially available HDPE with the community from the wild PE.  Looked at degradation.  Found degradation without pre-treatment."
157,10.1016/j.marpolbul.2011.06.003,A quantification of the standing stock of macro-debris in Majuro lagoon and its effect on hard coral communities,Richards & Beger,2011,N,Trop,Pac,Benthic,Transect [Visual],Obs,Macro,"macro debris more common in lagoon than in exposed sites. found more coral cover and sp richness is sites with low macrodebris presence.  however, porites rus was found growing over macro debris and dominating the coral community in sites with high debris presence. did not mention what p. rus was growing over. overall study found mostly aluminum drink cans and irregular debris types."
158,10.1021/acs.est.5b01093,Bacterial Community Profiling of Plastic Litter in the Belgian Part of the North Sea,De Tender et al.,2015,N,Temp,North,Floating; Beach,Trawl,Obs,Meso; micro,"beach pellets had significantly different community from floating debris, which was also different from seawater and sediment. actinobacteria was dominant on beach pellets, proteobacteria on other. presence of alpha and gamma proteobacteria was inversely related to bacteriodetes, in line with other studies that have found that the first two are present in early succcessional, while the later gains dominance in later succesional."
